Animal type,Country,Weight kg,Body Length cm,Gender,Animal code,Latitude,Longitude,Animal name,Observation date,Data compiled by
lynx,Poland,20,87,female,,52.852069,23.90087,,5/2/2024,Anne Anthony
lynx,Slovakia,19,84,female,,48.408917,18.862915,,7/6/2024,John Johnson
lynx,Slovakia,18,85,male,,48.411729,18.835591,,3/7/2024,James Johnson
red squirrel,Hungary,0.327,18,female,,48.502803,20.548668,,4/3/2024,Anne Anthony
lynx,Slovakia,18,76,male,,48.412724,18.868878,,5/17/2024,John Johnson
lynx,Hungary,18,81,female,,48.511532,20.539112,,6/3/2024,Anne Anthony
lynx,Poland,18,81,female,,52.802757,23.835199,,3/16/2024,Anne Anthony
lynx,Poland,18,63,male,,52.812647,23.863299,,9/3/2024,Anne Anthony
lynx,Poland,18,73,female,,52.832726,23.825032,,3/21/2024,Anne Anthony
lynx,Slovakia,17,80,female,,48.407449,18.850762,,3/20/2024,John Johnson
red squirrel,Hungary,0.286,18,female,,48.503917,20.536503,,7/3/2024,Anne Anthony
red squirrel,Hungary,0.283,18,female,,48.505251,20.551473,,4/3/2024,Anne Anthony
red squirrel,Hungary,0.301,18,female,,48.505512,20.538038,,4/3/2024,Anne Anthony
red squirrel,Slovakia,0.26,18,male,,49.053175,22.414666,,8/4/2024,John Johnson
red squirrel,Slovakia,0.298,18,female,,49.055453,22.423536,,8/4/2024,John Johnson
red squirrel,Slovakia,0.265,18,male,,49.056946,22.424916,,8/4/2024,John Johnson
red squirrel,Germany,0.318,18,male,,49.557527,11.089447,,2/4/2024,Bob Bobson
red squirrel,Germany,0.278,18,female,,49.558466,11.096048,,4/16/2024,Bob Bobson
lynx,Slovakia,16,65,male,,48.405926,18.839219,,3/19/2024,John Johnson
red squirrel,Germany,0.305,18,female,,49.561973,11.086554,,2/4/2024,Bob Bobson
lynx,Slovakia,16,62,female,,48.409448,18.845591,,3/29/2024,John Johnson
red squirrel,Czech Republic,0.271,18,male,,49.937391,14.179566,,11/3/2024,John Johnson
lynx,Poland,16,70,male,,52.803129,23.844358,,3/15/2024,Anne Anthony
red squirrel,Czech Republic,0.288,18,male,,49.937839,14.179075,,6/4/2024,John Johnson
red squirrel,Czech Republic,0.32,18,female,,49.938634,14.179739,,3/18/2024,John Johnson
lynx,Poland,16,72,male,,52.814211,23.834358,,3/16/2024,Anne Anthony
lynx,Slovakia,15,65,female,,48.406339,18.841071,,3/7/2024,James Johnson
red squirrel,Czech Republic,0.267,18,female,,49.93886,14.182738,,3/15/2024,John Johnson
red squirrel,Czech Republic,0.288,18,male,,49.939,14.182239,,3/30/2024,John Johnson
red squirrel,Czech Republic,0.278,18,female,,50.884288,14.372837,,11/6/2024,John Johnson
red squirrel,Tanzania,0.296,19,male,,-2.023546,34.896734,,7/3/2024,Anne Anthony
red squirrel,Hungary,0.315,19,male,,47.506414,18.941655,,3/21/2024,Anne Anthony
red squirrel,Hungary,0.253,19,male,,47.507002,18.950091,,5/3/2024,Anne Anthony
red squirrel,Hungary,0.261,19,female,,47.507023,18.940532,,8/3/2024,Anne Anthony
red squirrel,Hungary,0.25,19,female,,47.509538,18.945968,,3/31/2024,Anne Anthony
red squirrel,Hungary,0.268,19,male,,47.51106,18.939832,,4/14/2024,Anne Anthony
red squirrel,Austria,0.31,19,female,,47.780925,14.383695,,2/4/2024,Bob Bobson
red squirrel,Austria,0.29,19,male,,47.781078,14.384559,,3/29/2024,Bob Bobson
red squirrel,Austria,0.273,19,female,,47.781613,14.385153,,2/4/2024,Bob Bobson
red squirrel,Austria,0.333,19,female,,47.854756,15.082892,Sissi,8/4/2024,Bob Bobson
red squirrel,Austria,0.299,19,female,,47.854855,15.082168,Sissi,8/4/2024,Bob Bobson
red squirrel,Austria,0.256,19,male,,47.854876,15.08295,,11/4/2024,Bob Bobson
red squirrel,Austria,0.334,19,male,,47.856971,15.078984,,7/4/2024,Bob Bobson
red squirrel,Austria,0.338,19,male,,47.857495,15.07895,,8/4/2024,Bob Bobson
red squirrel,Germany,0.273,19,male,,48.161106,11.48991,,11/4/2024,Bob Bobson
lynx,Hungary,15,71,male,,48.50118,20.557432,,10/3/2024,Anne Anthony
red squirrel,Germany,0.339,19,female,,48.161422,11.491813,,4/15/2024,Bob Bobson
lynx,Czech Republic,15,70,male,,50.883894,14.372364,,5/4/2024,John Johnson
red squirrel,Germany,0.313,19,male,,48.161902,11.49458,,4/16/2024,Bob Bobson
red squirrel,Germany,0.258,19,male,,48.162251,11.494811,,2/4/2024,Bob Bobson
lynx,Poland,14,65,female,,52.851841,23.89158,,4/25/2024,Anne Anthony
red squirrel,Germany,0.303,19,female,,48.162437,11.494298,,11/4/2024,Bob Bobson
lynx,Poland,13,63,female,,52.846379,23.90499,,5/2/2024,Anne Anthony
red squirrel,Slovakia,0.326,19,female,,48.185585,17.091365,,3/16/2024,John Johnson
lynx,Czech Republic,12,52,male,,49.937391,14.367993,,4/19/2024,John Johnson
red squirrel,Slovakia,0.332,19,male,,48.185695,17.090742,,3/9/2024,James Johnson
red squirrel,Slovakia,0.33,19,male,,48.186672,17.091508,,3/21/2024,John Johnson
red squirrel,Slovakia,0.329,19,female,,48.18685,17.091228,,3/21/2024,John Johnson
red squirrel,Slovakia,0.293,19,male,,48.227614,17.072903,,2/4/2024,John Johnson
lynx,Slovakia,12,61,male,,48.413928,18.835281,,3/9/2024,James Johnson
red squirrel,Slovakia,0.3,19,female,,48.229837,17.089218,,5/4/2024,John Johnson
lynx,Hungary,12,61,female,,48.508239,20.567914,,9/3/2024,Anne Anthony
red squirrel,Slovakia,0.259,19,male,,48.405516,18.850994,,5/3/2024,John Johnson
lynx,Poland,12,52,male,,52.848214,23.891978,,4/28/2024,Anne Anthony
red squirrel,Slovakia,0.276,19,male,,48.408111,18.865646,,2/4/2024,John Johnson
lynx,Slovakia,11,52,female,,48.41179,18.87165,,6/19/2024,John Johnson
hedgehog,Austria,1.2,24,male,,47.318191,11.189484,,4/19/2024,Bob Bobson
hedgehog,Hungary,1.2,24,male,,47.508941,18.948915,,4/4/2024,Anne Anthony
red squirrel,Slovakia,0.302,19,male,,48.410201,18.862513,,2/4/2024,John Johnson
hedgehog,Hungary,1.2,26,male,,47.509103,18.948171,,5/3/2024,Anne Anthony
red squirrel,Slovakia,0.252,19,female,,48.410932,18.861704,,2/4/2024,John Johnson
red squirrel,Slovakia,0.28,19,male,,48.411486,18.86773,,3/17/2024,John Johnson
red squirrel,Hungary,0.335,19,female,,48.502521,20.558578,,11/3/2024,Anne Anthony
red squirrel,Hungary,0.339,19,female,,48.503752,20.558664,,11/3/2024,Anne Anthony
hedgehog,Hungary,1.2,23,male,,47.511267,18.940191,,4/13/2024,Anne Anthony
red squirrel,Hungary,0.28,19,female,,48.505494,20.536362,,4/3/2024,Anne Anthony
red squirrel,Slovakia,0.327,19,female,,49.055547,22.411172,,3/7/2024,James Johnson
hedgehog,Slovakia,1.2,22,male,,48.186913,17.088174,,4/27/2024,John Johnson
red squirrel,Slovakia,0.254,19,male,,49.055646,22.412458,,3/7/2024,James Johnson
hedgehog,Slovakia,1.2,25,male,,48.231497,17.073128,,5/21/2024,John Johnson
red squirrel,Germany,0.255,19,female,,49.558869,11.076638,,5/4/2024,Bob Bobson
hedgehog,Slovakia,1.2,26,male,,48.40912,18.869274,,3/4/2024,John Johnson
hedgehog,Slovakia,1.2,26,male,,48.409469,18.861715,,10/4/2024,John Johnson
hedgehog,Hungary,1.2,23,male,,48.503254,20.555951,,7/3/2024,Anne Anthony
hedgehog,Hungary,1.2,29,male,,48.503795,20.555932,,3/21/2024,Anne Anthony
red squirrel,Czech Republic,0.293,19,male,,49.937416,14.181449,,9/3/2024,John Johnson
hedgehog,Hungary,1.2,26,male,,48.509298,20.551977,,4/3/2024,Anne Anthony
red squirrel,Czech Republic,0.328,19,male,,49.938357,14.177929,,3/15/2024,John Johnson
red squirrel,Czech Republic,0.271,19,female,,49.938523,14.18244,,3/27/2024,John Johnson
red squirrel,Czech Republic,0.282,19,female,,49.939072,14.180063,,9/4/2024,John Johnson
red squirrel,Poland,0.294,19,male,,50.041131,19.949543,,2/4/2024,Anne Anthony
hedgehog,Germany,1.2,22,male,,49.551211,11.077661,,3/4/2024,Bob Bobson
hedgehog,Germany,1.2,28,male,,49.55152,11.079537,,4/17/2024,Bob Bobson
red squirrel,Poland,0.336,19,male,,50.041489,19.950768,Lolek,3/27/2024,Anne Anthony
hedgehog,Czech Republic,1.2,26,male,,49.938547,14.180402,,3/18/2024,John Johnson
hedgehog,Czech Republic,1.2,23,male,,49.939201,14.178923,,3/22/2024,John Johnson
red squirrel,Poland,0.323,19,female,,50.041804,19.951361,,1/4/2024,Anne Anthony
hedgehog,Czech Republic,1.2,26,male,,50.107284,14.347676,,7/3/2024,John Johnson
red squirrel,Czech Republic,0.317,19,male,,50.106373,14.347574,,4/15/2024,John Johnson
red squirrel,Czech Republic,0.324,19,male,,50.881376,14.367503,,6/6/2024,John Johnson
red squirrel,Czech Republic,0.324,19,female,,50.883325,14.372463,,6/6/2024,John Johnson
hedgehog,Czech Republic,1.2,31,male,,50.635766,14.844247,,1/3/2024,John Johnson
hedgehog,Poland,1.2,25,male,,52.214156,21.0325,,3/21/2024,Anne Anthony
hedgehog,Germany,1.2,23,male,,52.58572,13.148613,,3/24/2024,Bob Bobson
red squirrel,Poland,0.271,19,female,,52.211797,21.032857,,4/24/2024,Anne Anthony
red squirrel,Poland,0.317,19,female,,52.21231,21.033586,Zuzia,5/4/2024,Anne Anthony
red squirrel,Poland,0.298,19,female,,52.212379,21.032913,,4/17/2024,Anne Anthony
red squirrel,Poland,0.28,19,female,,52.212542,21.033829,,5/17/2024,Anne Anthony
hedgehog,Germany,1.2,22,male,,52.587058,13.149675,,3/24/2024,Bob Bobson
hedgehog,Austria,1.1,22,male,,47.316562,11.19116,,4/19/2024,Bob Bobson
hedgehog,Austria,1.1,23,female,,47.316963,11.188761,,3/24/2024,Bob Bobson
red squirrel,Poland,0.311,19,female,,52.212601,21.032613,,5/21/2024,Anne Anthony
hedgehog,Hungary,1.1,21,female,,47.505903,18.948538,,5/5/2024,Anne Anthony
red squirrel,Poland,0.306,19,female,,52.212605,21.033877,,4/22/2024,Anne Anthony
red squirrel,Poland,0.26,19,male,,52.212628,21.034494,,5/17/2024,Anne Anthony
hedgehog,Hungary,1.1,22,female,,47.510584,18.94173,,5/19/2024,Anne Anthony
hedgehog,Austria,1.1,21,female,,47.781212,14.384017,,3/19/2024,Bob Bobson
hedgehog,Austria,1.1,24,male,,47.781883,14.382628,,3/19/2024,Bob Bobson
red squirrel,Poland,0.305,19,female,,52.212746,21.033832,,9/5/2024,Anne Anthony
red squirrel,Poland,0.346,19,male,,52.240529,21.053603,,3/16/2024,Anne Anthony
hedgehog,Germany,1.1,25,male,,48.160773,11.49368,,3/30/2024,Bob Bobson
red squirrel,Poland,0.265,19,female,,52.24056,21.055899,,1/3/2024,Anne Anthony
hedgehog,Slovakia,1.1,23,male,,48.183848,17.082806,,4/29/2024,John Johnson
red squirrel,Poland,0.35,19,female,,52.241637,21.05154,,3/20/2024,Anne Anthony
red squirrel,Germany,0.34,19,female,,52.58237,13.146855,Bob Bobson,3/21/2024,Bob Bobson
hedgehog,Slovakia,1.1,22,male,,48.183927,17.090716,,5/3/2024,John Johnson
red squirrel,Germany,0.286,19,female,,52.582658,13.148057,,3/24/2024,Bob Bobson
hedgehog,Slovakia,1.1,29,male,,48.185406,17.084535,,4/19/2024,John Johnson
hedgehog,Slovakia,1.1,23,male,,48.186112,17.090491,,4/17/2024,John Johnson
hedgehog,Slovakia,1.1,19,female,,48.187522,17.087251,,4/19/2024,John Johnson
hedgehog,Slovakia,1.1,20,female,,48.23954,17.066719,,5/7/2024,James Johnson
hedgehog,Slovakia,1.1,22,male,,48.409754,18.870477,,1/4/2024,John Johnson
hedgehog,Slovakia,1.1,25,male,,48.41259,18.87302,,8/4/2024,John Johnson
hedgehog,Slovakia,1.1,16,female,,48.413154,18.875356,,7/4/2024,John Johnson
hedgehog,Hungary,1.1,26,male,,48.502486,20.562565,,10/3/2024,Anne Anthony
hedgehog,Hungary,1.1,19,female,,48.502512,20.563331,,3/19/2024,Anne Anthony
hedgehog,Hungary,1.1,26,not determined,,48.503062,20.551698,,4/3/2024,Anne Anthony
hedgehog,Hungary,1.1,18,male,,48.503062,20.551698,,3/22/2024,Anne Anthony
hedgehog,Hungary,1.1,24,male,,48.503795,20.555932,,4/3/2024,Anne Anthony
hedgehog,Hungary,1.1,22,male,,48.50509,20.539448,,3/23/2024,Anne Anthony
hedgehog,Germany,1.1,19,female,,49.54841,11.078249,,11/5/2024,Bob Bobson
hedgehog,Germany,1.1,20,female,,49.551562,11.081737,,4/28/2024,Bob Bobson
red squirrel,Germany,0.329,19,female,,52.582754,13.145364,Bob Bobson,3/22/2024,Bob Bobson
hedgehog,Germany,1.1,23,male,,49.559558,11.08115,,2/4/2024,Bob Bobson
hedgehog,Czech Republic,1.1,21,male,,49.939165,14.182528,,3/22/2024,John Johnson
hedgehog,Czech Republic,1.1,18,female,,49.939474,14.180897,,3/21/2024,John Johnson
hedgehog,Czech Republic,1.1,26,male,,50.106379,14.347645,,6/3/2024,John Johnson
red squirrel,Germany,0.334,19,male,,52.587863,13.147785,Bob Bobson,3/22/2024,Bob Bobson
red squirrel,Poland,0.31,19,female,,52.821524,23.817037,Basia,5/29/2024,Anne Anthony
hedgehog,Czech Republic,1.1,23,male,,50.10696,14.346126,,9/3/2024,John Johnson
red squirrel,Germany,0.294,19,male,,52.586487,13.150015,,1/3/2024,Bob Bobson
hedgehog,Czech Republic,1.1,23,male,,50.107278,14.348461,,8/3/2024,John Johnson
hedgehog,Czech Republic,1.1,22,female,,50.635584,14.837072,,2/3/2024,John Johnson
hedgehog,Czech Republic,1.1,32,male,,50.643254,14.84373,,2/3/2024,John Johnson
red squirrel,Germany,0.25,19,female,,52.586487,13.150015,,1/3/2024,Bob Bobson
hedgehog,Poland,1.1,22,female,,52.214521,21.031889,,6/3/2024,Anne Anthony
red squirrel,Germany,0.308,19,male,,52.586487,13.150015,,1/3/2024,Bob Bobson
red squirrel,Hungary,0.254,20,female,,47.508169,18.947418,,4/16/2024,Anne Anthony
hedgehog,Poland,1.1,20,female,,52.214766,21.030532,,3/27/2024,Anne Anthony
hedgehog,Germany,1.1,22,female,,52.58329,13.149155,Bob Bobson,3/21/2024,Bob Bobson
hedgehog,Germany,1.1,21,male,,52.585628,13.149093,Bob Bobson,3/21/2024,Bob Bobson
hedgehog,Hungary,1,18,female,,47.507019,18.944015,,5/16/2024,Anne Anthony
hedgehog,Hungary,1,23,female,,47.507376,18.9396,,12/5/2024,Anne Anthony
red squirrel,Hungary,0.251,20,female,,47.508618,18.944915,,3/26/2024,Anne Anthony
red squirrel,Hungary,0.257,20,female,,47.509375,18.939808,,9/4/2024,Anne Anthony
hedgehog,Hungary,1,20,male,,47.511301,18.93974,,10/5/2024,Anne Anthony
hedgehog,Slovakia,1,21,male,,48.185893,17.08942,,5/5/2024,John Johnson
hedgehog,Slovakia,1,18,male,,48.225014,17.081449,,5/13/2024,John Johnson
hedgehog,Slovakia,1,17,male,,48.226063,17.078596,,5/7/2024,James Johnson
hedgehog,Slovakia,1,20,female,,48.408713,18.863829,,12/4/2024,John Johnson
red squirrel,Hungary,0.284,20,female,,47.50938,18.949607,,9/3/2024,Anne Anthony
hedgehog,Hungary,1,24,female,,48.506913,20.540427,,8/3/2024,Anne Anthony
hedgehog,Germany,1,25,female,,49.54629,11.085729,,2/4/2024,Bob Bobson
hedgehog,Germany,1,20,male,,49.560442,11.098395,,4/17/2024,Bob Bobson
hedgehog,Germany,1,24,male,,49.561057,11.084334,,4/18/2024,Bob Bobson
hedgehog,Germany,1,23,female,,49.561356,11.105334,,5/7/2024,Bob Bobson
hedgehog,Czech Republic,1,17,female,,49.937696,14.182707,,3/19/2024,John Johnson
hedgehog,Czech Republic,1,21,female,,49.937788,14.180368,,3/23/2024,John Johnson
hedgehog,Czech Republic,1,20,female,,50.642723,14.837229,,2/3/2024,John Johnson
hedgehog,Poland,1,21,female,,52.213985,21.030841,,3/14/2024,Anne Anthony
red squirrel,Hungary,0.285,20,male,,47.509655,18.943576,,11/4/2024,Anne Anthony
red squirrel,Hungary,0.308,20,female,,47.510068,18.947176,,4/14/2024,Anne Anthony
hedgehog,Poland,1,21,male,,52.214419,21.033441,,3/25/2024,Anne Anthony
hedgehog,Germany,1,21,male,,52.585937,13.146151,Bob Bobson,3/19/2024,Bob Bobson
red squirrel,Hungary,0.262,20,female,,47.510799,18.945583,,3/3/2024,Anne Anthony
red squirrel,Austria,0.336,20,female,,47.780752,14.383452,Bibi,3/29/2024,Bob Bobson
hedgehog,Germany,1,24,male,,52.586487,13.150015,,3/24/2024,Bob Bobson
hedgehog,Austria,0.9,22,female,,47.31758,11.187606,,5/4/2024,Bob Bobson
hedgehog,Austria,0.9,25,male,,47.317974,11.187472,,4/19/2024,Bob Bobson
red squirrel,Austria,0.299,20,female,,47.781131,14.382207,,5/4/2024,Bob Bobson
hedgehog,Hungary,0.9,16,female,,47.506638,18.940091,,7/4/2024,Anne Anthony
hedgehog,Hungary,0.9,16,female,,47.507053,18.943306,,5/1/2024,Anne Anthony
hedgehog,Hungary,0.9,16,female,,47.50986,18.939943,,5/8/2024,Anne Anthony
red squirrel,Austria,0.272,20,female,,47.781296,14.383799,,3/24/2024,Bob Bobson
hedgehog,Hungary,0.9,23,male,,47.510055,18.944356,,5/7/2024,Anne Anthony
red squirrel,Austria,0.322,20,male,,47.781333,14.382547,,5/4/2024,Bob Bobson
hedgehog,Germany,0.9,18,female,,48.160459,11.493142,,3/27/2024,Bob Bobson
hedgehog,Germany,0.9,19,male,,48.161646,11.493511,,3/30/2024,Bob Bobson
hedgehog,Slovakia,0.9,20,male,,48.18637,17.090384,,4/28/2024,John Johnson
hedgehog,Slovakia,0.9,19,female,,48.407464,18.87406,,3/31/2024,John Johnson
hedgehog,Hungary,0.9,21,male,,48.50529,20.566169,,10/3/2024,Anne Anthony
hedgehog,Hungary,0.9,19,female,,48.505634,20.543417,,11/3/2024,Anne Anthony
hedgehog,Hungary,0.9,20,female,,48.51108,20.567192,,10/3/2024,Anne Anthony
hedgehog,Germany,0.9,25,male,,49.551318,11.085475,,4/18/2024,Bob Bobson
hedgehog,Germany,0.9,25,male,,49.560723,11.084667,,4/17/2024,Bob Bobson
hedgehog,Germany,0.9,23,female,,49.562583,11.082312,,3/4/2024,Bob Bobson
hedgehog,Czech Republic,0.9,17,male,,49.937429,14.18264,,3/18/2024,John Johnson
red squirrel,Austria,0.34,20,male,,47.781538,14.384561,,3/24/2024,Bob Bobson
hedgehog,Czech Republic,0.9,16,female,,49.93849,14.1802,,3/14/2024,John Johnson
hedgehog,Czech Republic,0.9,22,female,,50.106583,14.346471,,9/3/2024,John Johnson
hedgehog,Czech Republic,0.9,19,female,,50.107284,14.346127,,5/3/2024,John Johnson
red squirrel,Australia,0.266,20,female,,47.781632,14.382365,,5/4/2024,Bob Bobson
red squirrel,Austria,0.27,20,female,,47.7818,14.383699,,2/4/2024,Bob Bobson
red squirrel,Germany,0.29,20,male,,48.160807,11.494219,,4/15/2024,Bob Bobson
hedgehog,Czech Republic,0.9,22,female,,50.638142,14.849689,,4/3/2024,John Johnson
hedgehog,Czech Republic,0.9,20,female,,50.639869,14.849702,,2/3/2024,John Johnson
hedgehog,Czech Republic,0.9,22,male,,50.642843,14.84124,,1/3/2024,John Johnson
hedgehog,Poland,0.9,22,female,,52.214494,21.033154,,3/25/2024,Anne Anthony
hedgehog,Poland,0.9,22,male,,52.214498,21.034201,,3/15/2024,Anne Anthony
hedgehog,Poland,0.9,22,male,,52.214679,21.033021,,4/3/2024,Anne Anthony
red squirrel,Germany,0.256,20,female,,48.161009,11.491557,,4/15/2024,Bob Bobson
hedgehog,Poland,0.9,21,male,,52.214934,21.032106,,6/3/2024,Anne Anthony
hedgehog,Germany,0.9,151,female,,52.583004,13.150686,,3/24/2024,Bob Bobson
